0 gen's fitness  :  4980.75
100 gen's fitness  :  4790.84
200 gen's fitness  :  4624.37
300 gen's fitness  :  4563.55
400 gen's fitness  :  4524.18
500 gen's fitness  :  4471.37
600 gen's fitness  :  4394.62
700 gen's fitness  :  4369.14
800 gen's fitness  :  4322.23
900 gen's fitness  :  4288.25
1000 gen's fitness  :  4245.47
1100 gen's fitness  :  4216.78
1200 gen's fitness  :  4195.36
1300 gen's fitness  :  4111.76
1400 gen's fitness  :  4073.29
1500 gen's fitness  :  4050.31
1600 gen's fitness  :  4035.51
1700 gen's fitness  :  4024.46
1800 gen's fitness  :  4003.83
1900 gen's fitness  :  3995.08
2000 gen's fitness  :  3952.69
2100 gen's fitness  :  3918.98
2200 gen's fitness  :  3889.31
2300 gen's fitness  :  3888.62
2400 gen's fitness  :  3881.85
2500 gen's fitness  :  3874.27
2600 gen's fitness  :  3847.36
2700 gen's fitness  :  3831.1
2800 gen's fitness  :  3821.58
2900 gen's fitness  :  3814.67
3000 gen's fitness  :  3793.89
3100 gen's fitness  :  3777.75
3200 gen's fitness  :  3761.69
3300 gen's fitness  :  3752.73
3400 gen's fitness  :  3737.36
3500 gen's fitness  :  3710.44
3600 gen's fitness  :  3695.7
3700 gen's fitness  :  3678.69
3800 gen's fitness  :  3677.52
3900 gen's fitness  :  3667.43
4000 gen's fitness  :  3656.76
4100 gen's fitness  :  3653.12
4200 gen's fitness  :  3644.71
4300 gen's fitness  :  3644.01
4400 gen's fitness  :  3630.92
4500 gen's fitness  :  3625.68
4600 gen's fitness  :  3620.6
4700 gen's fitness  :  3615.68
4800 gen's fitness  :  3592.19
4900 gen's fitness  :  3584.15
5000 gen's fitness  :  3574.73
5100 gen's fitness  :  3565.38
5200 gen's fitness  :  3552.35
5300 gen's fitness  :  3542.9
5400 gen's fitness  :  3547.09
5500 gen's fitness  :  3536.7
5600 gen's fitness  :  3523.36
5700 gen's fitness  :  3518.39
5800 gen's fitness  :  3512.92
5900 gen's fitness  :  3502.61
6000 gen's fitness  :  3490.88
6100 gen's fitness  :  3489.4
6200 gen's fitness  :  3481.75
6300 gen's fitness  :  3469.82
6400 gen's fitness  :  3461.18
6500 gen's fitness  :  3460.27
6600 gen's fitness  :  3457.01
6700 gen's fitness  :  3448.72
6800 gen's fitness  :  3448.93
6900 gen's fitness  :  3446.76
7000 gen's fitness  :  3441.49
7100 gen's fitness  :  3439.54
7200 gen's fitness  :  3437.84
7300 gen's fitness  :  3424.99
7400 gen's fitness  :  3419.05
7500 gen's fitness  :  3421.51
7600 gen's fitness  :  3407.76
7700 gen's fitness  :  3410.63
7800 gen's fitness  :  3409.16
7900 gen's fitness  :  3407.79
8000 gen's fitness  :  3392.98
8100 gen's fitness  :  3387.21
8200 gen's fitness  :  3366.96
8300 gen's fitness  :  3364.45
8400 gen's fitness  :  3361.97
8500 gen's fitness  :  3360.72
8600 gen's fitness  :  3351.11
8700 gen's fitness  :  3343
8800 gen's fitness  :  3330.1
8900 gen's fitness  :  3332.28
9000 gen's fitness  :  3332.21
9100 gen's fitness  :  3331.58
9200 gen's fitness  :  3324.95
9300 gen's fitness  :  3319.99
9400 gen's fitness  :  3315.03
9500 gen's fitness  :  3311
9600 gen's fitness  :  3307.4
9700 gen's fitness  :  3306.56
9800 gen's fitness  :  3303.09
9900 gen's fitness  :  3300.97
10000 gen's fitness  :  3297.22
10100 gen's fitness  :  3297.22
10200 gen's fitness  :  3294.32
10300 gen's fitness  :  3290.14
10400 gen's fitness  :  3284.89
10500 gen's fitness  :  3274.08
10600 gen's fitness  :  3272.98
10700 gen's fitness  :  3270.28
10800 gen's fitness  :  3272.53
10900 gen's fitness  :  3270.55
11000 gen's fitness  :  3263.65
11100 gen's fitness  :  3258.52
11200 gen's fitness  :  3255.43
11300 gen's fitness  :  3250.07
11400 gen's fitness  :  3249.46
11500 gen's fitness  :  3248.34
11600 gen's fitness  :  3239.81
11700 gen's fitness  :  3237.67
11800 gen's fitness  :  3234.54
11900 gen's fitness  :  3233.6
12000 gen's fitness  :  3233.6
12100 gen's fitness  :  3233.59
12200 gen's fitness  :  3232.07
12300 gen's fitness  :  3227.13
12400 gen's fitness  :  3229.41
12500 gen's fitness  :  3226.93
12600 gen's fitness  :  3225.8
12700 gen's fitness  :  3213.59
12800 gen's fitness  :  3214.36
12900 gen's fitness  :  3210.12
13000 gen's fitness  :  3204.37
13100 gen's fitness  :  3204.05
13200 gen's fitness  :  3204.04
13300 gen's fitness  :  3203.68
13400 gen's fitness  :  3194.44
13500 gen's fitness  :  3188.31
13600 gen's fitness  :  3189.03
13700 gen's fitness  :  3187.93
13800 gen's fitness  :  3180.58
13900 gen's fitness  :  3178.45
14000 gen's fitness  :  3175.55
14100 gen's fitness  :  3157.84
14200 gen's fitness  :  3162.36
14300 gen's fitness  :  3151.9
14400 gen's fitness  :  3155.08
14500 gen's fitness  :  3152.24
14600 gen's fitness  :  3145.68
14700 gen's fitness  :  3141.02
14800 gen's fitness  :  3137.3
14900 gen's fitness  :  3136.05
15000 gen's fitness  :  3136.05
15100 gen's fitness  :  3131.84
15200 gen's fitness  :  3130.5
15300 gen's fitness  :  3130.73
15400 gen's fitness  :  3129.4
15500 gen's fitness  :  3130.28
15600 gen's fitness  :  3128.05
15700 gen's fitness  :  3124.45
15800 gen's fitness  :  3126.62
15900 gen's fitness  :  3126.19
16000 gen's fitness  :  3126.19
16100 gen's fitness  :  3117.66
16200 gen's fitness  :  3118.61
16300 gen's fitness  :  3115.58
16400 gen's fitness  :  3114.31
16500 gen's fitness  :  3108.71
16600 gen's fitness  :  3107.76
16700 gen's fitness  :  3104.91
16800 gen's fitness  :  3101.96
16900 gen's fitness  :  3103.88
17000 gen's fitness  :  3099.48
17100 gen's fitness  :  3099.07
17200 gen's fitness  :  3083.75
17300 gen's fitness  :  3083.68
17400 gen's fitness  :  3083.75
17500 gen's fitness  :  3080.56
17600 gen's fitness  :  3081.86
17700 gen's fitness  :  3075.17
17800 gen's fitness  :  3079.4
17900 gen's fitness  :  3076.51
18000 gen's fitness  :  3073.39
18100 gen's fitness  :  3068.14
18200 gen's fitness  :  3057.45
18300 gen's fitness  :  3066.82
18400 gen's fitness  :  3066.72
18500 gen's fitness  :  3061.73
18600 gen's fitness  :  3061.36
18700 gen's fitness  :  3058.07
18800 gen's fitness  :  3054.53
18900 gen's fitness  :  3054.22
19000 gen's fitness  :  3055.03
19100 gen's fitness  :  3054.62
19200 gen's fitness  :  3046.75
19300 gen's fitness  :  3046.66
19400 gen's fitness  :  3044.61
19500 gen's fitness  :  3034.32
19600 gen's fitness  :  3033.14
19700 gen's fitness  :  3031.85
19800 gen's fitness  :  3012.4
19900 gen's fitness  :  3019.93
20000 gen's fitness  :  3019.93
20100 gen's fitness  :  3017.54
20200 gen's fitness  :  3017.54
20300 gen's fitness  :  3013.22
20400 gen's fitness  :  3015.78
20500 gen's fitness  :  3013.37
20600 gen's fitness  :  3012.96
20700 gen's fitness  :  3011.84
20800 gen's fitness  :  3011.61
20900 gen's fitness  :  3011.61
21000 gen's fitness  :  3009.88
21100 gen's fitness  :  3007.55
21200 gen's fitness  :  3005.13
21300 gen's fitness  :  3007.22
21400 gen's fitness  :  3007.22
21500 gen's fitness  :  3003.79
21600 gen's fitness  :  3004.86
21700 gen's fitness  :  3001.61
21800 gen's fitness  :  3001.55
21900 gen's fitness  :  2998.39
22000 gen's fitness  :  2995.08
22100 gen's fitness  :  2995.02
22200 gen's fitness  :  2994.7
22300 gen's fitness  :  2992.13
22400 gen's fitness  :  2993.93
22500 gen's fitness  :  2991.63
22600 gen's fitness  :  2987.98
22700 gen's fitness  :  2985.66
22800 gen's fitness  :  2984.92
22900 gen's fitness  :  2983.47
23000 gen's fitness  :  2981.67
23100 gen's fitness  :  2981.97
23200 gen's fitness  :  2981.97
23300 gen's fitness  :  2981.97
23400 gen's fitness  :  2975.14
23500 gen's fitness  :  2969.35
23600 gen's fitness  :  2972.19
23700 gen's fitness  :  2972.11
23800 gen's fitness  :  2972.11
23900 gen's fitness  :  2972.11
24000 gen's fitness  :  2971.66
24100 gen's fitness  :  2971.15
24200 gen's fitness  :  2971.6
24300 gen's fitness  :  2969.65
24400 gen's fitness  :  2970.3
24500 gen's fitness  :  2970.21
24600 gen's fitness  :  2963.49
24700 gen's fitness  :  2965.28
24800 gen's fitness  :  2970.3
24900 gen's fitness  :  2970.22
25000 gen's fitness  :  2970.22
25100 gen's fitness  :  2969.14
25200 gen's fitness  :  2966.73
25300 gen's fitness  :  2967.18
25400 gen's fitness  :  2967.18
25500 gen's fitness  :  2964.56
25600 gen's fitness  :  2952.22
25700 gen's fitness  :  2949.04
25800 gen's fitness  :  2949.04
25900 gen's fitness  :  2945.82
26000 gen's fitness  :  2948.46
26100 gen's fitness  :  2947.28
26200 gen's fitness  :  2945.31
26300 gen's fitness  :  2936.05
26400 gen's fitness  :  2936.05
